season,date,playoff,neutral,status,ot,home_team,away_team,home_team_abbr,away_team_abbr,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,overtime_prob,home_team_expected_points,away_team_expected_points,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,game_quality_rating,game_importance_rating,game_overall_rating
2023,2022-10-07,0,1,post,,Nashville Predators,San Jose Sharks,NSH,SJS,1506.26777290077,1450.24086317589,0.579937497189804,0.420062502810196,0.2343447299083,1.25831442814527,0.976030301763031,4,1,1510.04425524312,1446.46438083354,15,41,28
2023,2022-10-08,0,1,post,,San Jose Sharks,Nashville Predators,SJS,NSH,1446.46438083354,1510.04425524312,0.409509081140278,0.590490918859722,0.23305325720458,0.956633994270539,1.27641926293404,2,3,1444.54642787437,1511.96220820229,15,43,29
2023,2022-10-11,0,0,post,,New York Rangers,Tampa Bay Lightning,NYR,TBL,1550.56881835361,1571.15890583938,0.54222346550515,0.45777653449485,0.238935424655743,1.19382596167726,1.04510946297848,3,1,1554.00296914249,1567.7247550505,97,24,60
2023,2022-10-11,0,0,post,,Los Angeles Kings,Vegas Golden Knights,LAK,VEG,1501.12906760357,1528.45437452053,0.532585256521103,0.467414743478897,0.240106795580069,1.1773999693058,1.06270682627426,3,4,1498.52855611204,1531.05488601206,60,77,68
2023,2022-10-12,0,0,post,,Carolina Hurricanes,Columbus Blue Jackets,CAR,CBJ,1554.7437505213,1474.22025567588,0.679473577636381,0.320526422363619,0.221824053881447,1.43004762565758,0.79177642822387,4,1,1557.52692558368,1471.4370806135,58,36,47
2023,2022-10-12,0,0,post,,Montreal Canadiens,Toronto Maple Leafs,MTL,TOR,1439.3127407971,1554.43502260661,0.407363821253422,0.592636178746578,0.232790132808819,0.95268749726457,1.28010263554425,4,3,1442.26835321851,1551.4794101852,33,23,28
2023,2022-10-12,0,0,post,,Washington Capitals,Boston Bruins,WSH,BOS,1526.14943412605,1547.1689295355,0.541609840998706,0.458390159001294,0.239009988964619,1.1927795088418,1.04623048012282,2,5,1521.07539860971,1552.24296505184,84,54,69
2023,2022-10-12,0,0,post,,Colorado Avalanche,Chicago Blackhawks,COL,CHI,1593.23957737157,1447.2980537641,0.755456700131152,0.244543299868848,0.211229652809568,1.56256819659051,0.648661456219062,5,2,1595.30113169161,1445.23649944406,63,10,36
2023,2022-10-12,0,0,post,OT,Anaheim Ducks,Seattle Kraken,ANA,SEA,1450.89079196333,1452.90698918456,0.568618521369471,0.431381478630529,0.235725462251564,1.23892464119589,0.996800821055678,5,4,1452.92620448966,1450.87157665823,2,25,13
2023,2022-10-12,0,0,post,,Edmonton Oilers,Vancouver Canucks,EDM,VAN,1540.94849839808,1509.02674085654,0.615757545133551,0.384242454866449,0.229937668818408,1.31986690460016,0.910070764218253,5,3,1543.76001096965,1506.21522828497,73,64,68
2023,2022-10-13,0,0,post,,Philadelphia Flyers,New Jersey Devils,PHI,NJD,1437.29472740565,1444.55359615052,0.561201011955078,0.438798988044922,0.236628477194995,1.22623436024593,1.01039411694907,5,2,1441.26470052391,1440.58362303226,0,16,8
2023,2022-10-13,0,0,post,,Buffalo Sabres,Ottawa Senators,BUF,OTT,1464.78649780165,1471.57982810939,0.561860829442831,0.438139170557169,0.236548194845786,1.22736268877219,1.0091855060736,4,1,1468.74961970056,1467.61670621048,9,47,28
2023,2022-10-13,0,0,post,,Pittsburgh Penguins,Arizona Coyotes,PIT,ARI,1534.86176584587,1439.71250174209,0.697526393238949,0.302473606761051,0.219422862760708,1.46142241118296,0.758000451577743,6,2,1537.7966791756,1436.77758841236,23,22,22
